cty,name,kfr_imm_rA_gP_pall,kfr_imm_rA_gP_pall_l,kfr_imm_rA_gP_p100,kfr_imm_rA_gP_p100_l,kfr_imm_rA_gP_p75,kfr_imm_rA_gP_p75_l,kfr_imm_rA_gP_p25,kfr_imm_rA_gP_p25_l,kfr_imm_rA_gP_p1,kfr_imm_rA_gP_p1_l,kfr_imm_rA_gP_p50,kfr_imm_rA_gP_p50_l,kfr_imm_rA_gF_pall,kfr_imm_rA_gF_pall_l,kfr_imm_rA_gF_p100,kfr_imm_rA_gF_p100_l,kfr_imm_rA_gF_p75,kfr_imm_rA_gF_p75_l,kfr_imm_rA_gF_p25,kfr_imm_rA_gF_p25_l,kfr_imm_rA_gF_p1,kfr_imm_rA_gF_p1_l,kfr_imm_rA_gF_p50,kfr_imm_rA_gF_p50_l,kfr_imm_rA_gM_pall,kfr_imm_rA_gM_pall_l,kfr_imm_rA_gM_p100,kfr_imm_rA_gM_p100_l,kfr_imm_rA_gM_p75,kfr_imm_rA_gM_p75_l,kfr_imm_rA_gM_p25,kfr_imm_rA_gM_p25_l,kfr_imm_rA_gM_p1,kfr_imm_rA_gM_p1_l,kfr_imm_rA_gM_p50,kfr_imm_rA_gM_p50_l,kfr_imm_rP_gP_pall,kfr_imm_rP_gP_pall_l,kfr_imm_rP_gP_p100,kfr_imm_rP_gP_p100_l,kfr_imm_rP_gP_p75,kfr_imm_rP_gP_p75_l,kfr_imm_rP_gP_p25,kfr_imm_rP_gP_p25_l,kfr_imm_rP_gP_p1,kfr_imm_rP_gP_p1_l,kfr_imm_rP_gP_p50,kfr_imm_rP_gP_p50_l,kfr_imm_rP_gF_pall,kfr_imm_rP_gF_pall_l,kfr_imm_rP_gF_p100,kfr_imm_rP_gF_p100_l,kfr_imm_rP_gF_p75,kfr_imm_rP_gF_p75_l,kfr_imm_rP_gF_p25,kfr_imm_rP_gF_p25_l,kfr_imm_rP_gF_p1,kfr_imm_rP_gF_p1_l,kfr_imm_rP_gF_p50,kfr_imm_rP_gF_p50_l,kfr_imm_rP_gM_pall,kfr_imm_rP_gM_pall_l,kfr_imm_rP_gM_p100,kfr_imm_rP_gM_p100_l,kfr_imm_rP_gM_p75,kfr_imm_rP_gM_p75_l,kfr_imm_rP_gM_p25,kfr_imm_rP_gM_p25_l,kfr_imm_rP_gM_p1,kfr_imm_rP_gM_p1_l,kfr_imm_rP_gM_p50,kfr_imm_rP_gM_p50_l,kfr_imm_rB_gP_pall,kfr_imm_rB_gP_pall_l,kfr_imm_rB_gP_p100,kfr_imm_rB_gP_p100_l,kfr_imm_rB_gP_p75,kfr_imm_rB_gP_p75_l,kfr_imm_rB_gP_p25,kfr_imm_rB_gP_p25_l,kfr_imm_rB_gP_p1,kfr_imm_rB_gP_p1_l,kfr_imm_rB_gP_p50,kfr_imm_rB_gP_p50_l,kfr_imm_rB_gF_pall,kfr_imm_rB_gF_pall_l,kfr_imm_rB_gF_p100,kfr_imm_rB_gF_p100_l,kfr_imm_rB_gF_p75,kfr_imm_rB_gF_p75_l,kfr_imm_rB_gF_p25,kfr_imm_rB_gF_p25_l,kfr_imm_rB_gF_p1,kfr_imm_rB_gF_p1_l,kfr_imm_rB_gF_p50,kfr_imm_rB_gF_p50_l,kfr_imm_rB_gM_pall,kfr_imm_rB_gM_pall_l,kfr_imm_rB_gM_p100,kfr_imm_rB_gM_p100_l,kfr_imm_rB_gM_p75,kfr_imm_rB_gM_p75_l,kfr_imm_rB_gM_p25,kfr_imm_rB_gM_p25_l,kfr_imm_rB_gM_p1,kfr_imm_rB_gM_p1_l,kfr_imm_rB_gM_p50,kfr_imm_rB_gM_p50_l,kfr_imm_rW_gP_pall,kfr_imm_rW_gP_pall_l,kfr_imm_rW_gP_p100,kfr_imm_rW_gP_p100_l,kfr_imm_rW_gP_p75,kfr_imm_rW_gP_p75_l,kfr_imm_rW_gP_p25,kfr_imm_rW_gP_p25_l,kfr_imm_rW_gP_p1,kfr_imm_rW_gP_p1_l,kfr_imm_rW_gP_p50,kfr_imm_rW_gP_p50_l,kfr_imm_rW_gF_pall,kfr_imm_rW_gF_pall_l,kfr_imm_rW_gF_p100,kfr_imm_rW_gF_p100_l,kfr_imm_rW_gF_p75,kfr_imm_rW_gF_p75_l,kfr_imm_rW_gF_p25,kfr_imm_rW_gF_p25_l,kfr_imm_rW_gF_p1,kfr_imm_rW_gF_p1_l,kfr_imm_rW_gF_p50,kfr_imm_rW_gF_p50_l,kfr_imm_rW_gM_pall,kfr_imm_rW_gM_pall_l,kfr_imm_rW_gM_p100,kfr_imm_rW_gM_p100_l,kfr_imm_rW_gM_p75,kfr_imm_rW_gM_p75_l,kfr_imm_rW_gM_p25,kfr_imm_rW_gM_p25_l,kfr_imm_rW_gM_p1,kfr_imm_rW_gM_p1_l,kfr_imm_rW_gM_p50,kfr_imm_rW_gM_p50_l,kfr_imm_rH_gP_pall,kfr_imm_rH_gP_pall_l,kfr_imm_rH_gP_p100,kfr_imm_rH_gP_p100_l,kfr_imm_rH_gP_p75,kfr_imm_rH_gP_p75_l,kfr_imm_rH_gP_p25,kfr_imm_rH_gP_p25_l,kfr_imm_rH_gP_p1,kfr_imm_rH_gP_p1_l,kfr_imm_rH_gP_p50,kfr_imm_rH_gP_p50_l,kfr_imm_rH_gF_pall,kfr_imm_rH_gF_pall_l,kfr_imm_rH_gF_p100,kfr_imm_rH_gF_p100_l,kfr_imm_rH_gF_p75,kfr_imm_rH_gF_p75_l,kfr_imm_rH_gF_p25,kfr_imm_rH_gF_p25_l,kfr_imm_rH_gF_p1,kfr_imm_rH_gF_p1_l,kfr_imm_rH_gF_p50,kfr_imm_rH_gF_p50_l,kfr_imm_rH_gM_pall,kfr_imm_rH_gM_pall_l,kfr_imm_rH_gM_p100,kfr_imm_rH_gM_p100_l,kfr_imm_rH_gM_p75,kfr_imm_rH_gM_p75_l,kfr_imm_rH_gM_p25,kfr_imm_rH_gM_p25_l,kfr_imm_rH_gM_p1,kfr_imm_rH_gM_p1_l,kfr_imm_rH_gM_p50,kfr_imm_rH_gM_p50_l,kfr_imm_rNA_gP_pall,kfr_imm_rNA_gP_pall_l,kfr_imm_rNA_gP_p100,kfr_imm_rNA_gP_p100_l,kfr_imm_rNA_gP_p75,kfr_imm_rNA_gP_p75_l,kfr_imm_rNA_gP_p25,kfr_imm_rNA_gP_p25_l,kfr_imm_rNA_gP_p1,kfr_imm_rNA_gP_p1_l,kfr_imm_rNA_gP_p50,kfr_imm_rNA_gP_p50_l,kfr_imm_rNA_gF_pall,kfr_imm_rNA_gF_pall_l,kfr_imm_rNA_gF_p100,kfr_imm_rNA_gF_p100_l,kfr_imm_rNA_gF_p75,kfr_imm_rNA_gF_p75_l,kfr_imm_rNA_gF_p25,kfr_imm_rNA_gF_p25_l,kfr_imm_rNA_gF_p1,kfr_imm_rNA_gF_p1_l,kfr_imm_rNA_gF_p50,kfr_imm_rNA_gF_p50_l,kfr_imm_rNA_gM_pall,kfr_imm_rNA_gM_pall_l,kfr_imm_rNA_gM_p100,kfr_imm_rNA_gM_p100_l,kfr_imm_rNA_gM_p75,kfr_imm_rNA_gM_p75_l,kfr_imm_rNA_gM_p25,kfr_imm_rNA_gM_p25_l,kfr_imm_rNA_gM_p1,kfr_imm_rNA_gM_p1_l,kfr_imm_rNA_gM_p50,kfr_imm_rNA_gM_p50_l
cty48241,"Jasper County, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43459,51129,29941,42681,35917,48454,41977,55266,44838,59542,39064,51880,,50864,,0,,17442,,76294,,195678,,43756,,51663,,63845,,56775,,50795,,47481,,53759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42176,,0,,16559,,51436,,128110,,30642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty47025,"Claiborne County, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty48397,"Rockwall County, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51798,48513,77616,65944,55518,53701,39700,42929,33767,37521,46619,47876,60646,47995,99446,67156,64672,53756,40556,40591,33304,34368,50393,46247,45566,49327,60736,59485,47966,51504,38600,44909,34362,41286,42978,48173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54163,48512,70766,57336,55168,48195,43488,39844,39257,35494,48512,43727,59535,53377,135762,71627,59419,50510,25956,33840,13907,25550,39795,41357,49999,45670,45447,42744,49787,44535,54137,46495,56602,47646,51909,45542,45126,47278,105834,95031,61362,63373,39666,41836,28227,24632,49544,52929,,43098,,47873,,44396,,41172,,38126,,42783,38659,54717,93179,106739,52246,70456,33272,47392,21792,28527,42438,60852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty08065,"Lake County, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty27077,"Lake of the Woods County, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty38099,"Walsh County, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34685,64700,163153,69428,67429,66513,32329,63518,20447,61848,46476,64951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty37143,"Perquimans County, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty45023,"Chester County, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66276,,140054,,82198,,51015,,38091,,64552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty38033,"Golden Valley County, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty26043,"Dickinson County, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30203,,29377,,30198,,31073,,31577,,30651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38478,,35421,,37526,,39815,,41160,,38702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty18183,"Whitley County, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48551,,41713,,47685,,53973,,56982,,50930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49073,,37686,,46994,,57096,,61807,,52285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty54097,"Upshur County, WV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty26009,"Antrim County, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44961,43808,100571,44583,53027,43394,26046,42161,15757,41466,37594,42754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37938,,39424,,37799,,36113,,35162,,36923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty48239,"Jackson County, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59483,,1062314,,104173,,45933,,26256,,68627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty28137,"Tate County, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty21003,"Allen County, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty21239,"Woodford County, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty31009,"Blaine County, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty47185,"White County, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty28161,"Yalobusha County, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty72095,"Maunabo Municipio, PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty01037,"Coosa County, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty04023,"Santa Cruz County, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36240,35693,85895,53661,53869,42908,33118,33192,25340,28040,42063,37727,34440,36751,59483,63968,44694,48468,32450,33704,28162,26547,37800,40065,38277,34796,140605,48908,65128,40078,34029,32728,22059,28562,47228,36385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36130,,42056,,37572,,33081,,30596,,35218,,,,,,,,,,,,,,,,,,,,,,,,,38156,37074,87238,56420,53414,44585,35597,34962,25547,25814,43876,40185,35237,37809,61982,63750,44755,47859,33493,35479,26997,24672,38748,41452,41566,36492,120995,52053,61519,42464,37831,34640,24674,26528,48972,39421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty53021,"Franklin County, WA",55242,29949,60315,52939,56381,34097,54241,26293,52666,17518,54984,29953,,,,,,,,,,,,,,,,,,,,,,,,,41478,41677,68895,44056,51846,42682,39110,41259,34167,40459,44765,41942,49251,46099,924095,40890,85998,43311,44931,46395,34130,48159,60942,44964,35555,37859,38235,50955,36571,43276,35132,36865,34422,33259,35830,40050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57552,51987,84181,27921,68115,38724,55585,52195,51020,61535,61022,45320,,48199,,34262,,40184,,47062,,51394,,43646,54415,57514,78046,31897,62870,43292,51000,58095,45503,68379,56691,50489,40000,43668,71537,63404,50607,51871,38305,42488,31117,33923,44150,47551,47063,48350,164011,52772,75103,50555,44905,48456,31135,46446,57944,49510,33744,40251,35585,77781,34338,54213,33468,37859,32856,22670,33920,47512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty18061,"Harrison County, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51976,39802,98683,10117,66672,31336,45189,59367,37664,82587,54392,44315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38765,,8332,,29579,,56480,,78598,,42159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty05017,"Chicot County, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty17055,"Franklin County, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74070,41657,1062314,61132,108384,47535,62705,35842,48933,29845,80725,41224,,50054,,109330,,67369,,36366,,23550,,48660,,33828,,26476,,31833,,37059,,40349,,34364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42117,,70303,,49964,,33785,,25701,,41098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty51073,"Gloucester County, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53234,44905,132663,28365,68616,39670,37713,53987,27443,64010,50376,46648,,50052,,28360,,41523,,62036,,76460,,51774,51402,39574,147836,33452,65786,38254,33893,43032,21669,46076,47385,40560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55335,45271,105454,32515,63407,40371,38697,49810,30649,55982,48697,45069,,49045,,11891,,34484,,66671,,94386,,49076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty17049,"Effingham County, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37012,58460,18737,53894,32714,59466,47718,65895,55714,69806,40256,62728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty54013,"Calhoun County, WV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty18037,"Dubois County, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56291,64290,71768,80290,59868,70130,50161,60506,46331,55504,54535,65019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty17183,"Vermilion County, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49318,37449,64079,58534,51790,43386,42080,30453,38234,23620,46450,36441,39849,29397,50582,49463,41651,35931,33593,21724,30694,14404,37173,28107,58383,45098,67799,67829,59537,51112,52966,38735,49948,32253,56074,44708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33277,,61469,,41154,,24503,,15614,,32243,,25098,,49207,,33596,,19210,,11426,,26071,,39415,,68392,,47254,,30555,,21980,,38154,43210,34031,14008,28119,30011,31350,43565,34551,54472,38034,36509,32749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty12125,"Union County, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty05035,"Crittenden County, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54710,43910,39924,59340,43388,47897,46862,37776,48467,32557,45203,42453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty21027,"Breckinridge County, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty36025,"Delaware County, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52399,46566,102500,62242,60934,50755,35948,40597,27131,35420,46443,45278,49413,48832,174999,51256,65765,49794,27065,48060,15468,47129,42078,48845,56641,42781,71037,90135,57960,56537,48183,35179,43860,24655,52733,45112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54352,48299,93402,70024,59531,54906,38144,42022,30948,35687,46932,47882,53150,51532,146758,54795,64672,52483,30819,50129,19066,48823,44567,51252,,46299,,96676,,60016,,34682,,23070,,45610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty48325,"Medina County, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37733,47042,59230,66041,46283,54696,36142,44570,32051,39467,40725,49237,43419,54049,55254,78924,47900,65828,41207,52309,38828,45985,44170,58163,29679,41599,30821,70386,29784,51099,28876,37214,28426,29989,29318,43881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56765,,1936,,34736,,84519,,163111,,56070,,,,,,,,,,,,,,,,,,,,,,,,,39865,43038,113561,57842,63438,48967,40193,41497,28150,34471,50711,45560,42938,50950,74504,80609,55307,65094,42862,52306,36110,41820,48574,58474,,36369,,64132,,46549,,33670,,20794,,41410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty08095,"Phillips County, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
