"cz","Name","Household_Income_for_U.S._Natives_rP_gP_pall"
"cz10000","Panama City, FL",38727
"cz6502","Cleveland, TN",38720
"cz1204","Andrews, GA & NC",38686
"cz2800","Laurel, MS",38627
"cz17000","Pikeville, KY & WV",38617
"cz3003","Jackson, MS",38613
"cz1600","Wilson, NC",38586
"cz6501","Ellijay, GA",38570
"cz800","Gastonia, NC",38569
"cz34309","Harlowton, MT",38567
"cz9302","Toccoa, GA",38565
"cz8401","Aiken, GA & SC",38561
"cz1800","Goldsboro, NC",38492
"cz11002","Atmore, AL",38480
"cz12902","Mount Sterling, KY",38479
"cz9900","Tallahassee, FL",38447
"cz9600","LaGrange, AL & GA",38442
"cz7500","Deltona, FL",38393
"cz25101","Mountain Home, AR & MO",38385
"cz34002","Idabel, AR & OK",38363
"cz11101","Montgomery, AL",38205
"cz4001","Magnolia, AR",38088
"cz5201","New Albany, MS",38064
"cz9500","Talladega, AL",37970
"cz30603","Truth or Consequences, NM",37935
"cz34110","Sitka, AK",37915
"cz3202","Natchez, LA & MS",37880
"cz4402","Richmond, KY",37870
"cz32303","Junction, TX",37841
"cz8900","Macon, GA",37840
"cz31501","Crystal City, TX",37818
"cz4601","Campbellsville, KY",37805
"cz10802","Demopolis, AL",37609
"cz10400","Meridian, MS",37507
"cz26603","East Corson UT, ND & SD",37495
"cz3101","McComb, MS",37476
"cz3901","Monroe, LA",37423
"cz6402","Crossville, TN",37381
"cz30200","Muskogee, OK",37374
"cz6301","McMinnville, TN",37304
"cz7800","Ocala, FL",37242
"cz25702","Poplar Bluff, MO",37131
"cz9001","Vidalia, GA",37108
"cz200","Morristown, TN",37081
"cz5202","Memphis, MS & TN",37059
"cz8503","Valdosta, GA",37031
"cz10102","Thomasville, GA",36945
"cz4102","Pine Bluff, AR",36869
"cz3203","Vicksburg, LA & MS",36828
"cz8000","Sumter, SC",36773
"cz34103","Valdez, AK",36766
"cz37902","Reno, NV",36695
"cz4301","Stuttgart, AR",36659
"cz10502","Starkville, MS",36592
"cz3002","Yazoo City, MS",36503
"cz20002","Calais, ME",36478
"cz30907","Matador, TX",36463
"cz9003","Dublin, GA",36462
"cz34801","Las Vegas, NM",36254
"cz8601","Waycross, GA",36246
"cz4401","London, KY",36205
"cz8602","Brunswick, GA",36152
"cz9200","Griffin, GA",36069
"cz10501","Columbus, AL & MS",36066
"cz4502","Hazard, KY",35977
"cz10301","Eufaula, AL & GA",35953
"cz35500","Gallup, AZ & NM",35874
"cz4902","Dyersburg, TN",35834
"cz30702","Santa Rosa, NM",35815
"cz8702","Statesboro, GA",35806
"cz4602","Somerset, KY & TN",35784
"cz4501","West Liberty, KY",35732
"cz9002","Milledgeville, GA",35656
"cz2600","Roanoke Rapids, NC & VA",35615
"cz1302","Florence, SC",35574
"cz7700","Lake City, FL",35571
"cz25800","Blytheville, AR & MO",35414
"cz8701","Hinesville, GA",35374
"cz3902","Lake Providence, LA",35097
"cz30604","Deming, NM",34867
"cz1400","Fayetteville, NC",34789
"cz9702","Americus, GA",34738
"cz34902","Socorro, NM",34547
"cz8501","Fitzgerald, GA",34373
"cz301","Middlesborough, KY & TN",34353
"cz8402","Washington, GA",34226
"cz34111","Ketchikan, AK",34003
"cz1301","Bennettsville, SC",33993
"cz8201","Barnwell, SC",33992
"cz9701","Columbus, AL & GA",33848
"cz5300","West Memphis, AR",33488
"cz10101","Bainbridge, GA",33441
"cz10200","Albany, GA",33440
"cz27605","Mission, SD",33033
"cz3001","Kosciusko, MS",32985
"cz4701","Greenwood, MS",32851
"cz8502","Cordele, GA",32677
"cz1702","Henderson, NC",32495
"cz4702","Clarksdale, MS",32463
"cz27602","Eagle Butte, SD",32240
"cz34108","Kodiak, AK",32154
"cz4800","Greenville, MS",30550
"cz34113","Barrow, AK",28729
"cz34101","Sand Point, AK",24421
"cz34107","Dillingham, AK",23376
"cz34104","Bristol Bay, AK",22246
"cz34106","Nome, AK",22125
"cz34105","Kotzebue, AK",18352
"cz34112","Bethel, AK",14559
