"cz","Name","Household_Income_for_Immigrants_rP_gP_pall"
"cz26503","Sioux Falls, SD",47169
"cz32601","Wichita Falls, TX",47159
"cz25402","Murray, KY",47147
"cz8100","Columbia, SC",47123
"cz4402","Richmond, KY",47113
"cz31201","Austin, TX",47074
"cz19400","New York, NY",47018
"cz19901","Dover, DE & MD",47011
"cz26107","Kirksville, MO",46990
"cz19000","Allentown, PA",46987
"cz28502","Pueblo, CO",46965
"cz9100","Atlanta, GA",46962
"cz20302","Claremont, NH & VT",46874
"cz32702","Stephenville, TX",46834
"cz35300","Farmington, CO & NM",46831
"cz38200","Santa Barbara, CA",46763
"cz16500","Erie, NY & PA",46714
"cz30100","Fort Smith, AR & OK",46678
"cz24100","Milwaukee, WI",46632
"cz22100","Iowa City, IA",46630
"cz22601","Green Bay, WI",46624
"cz12100","Kalamazoo, MI",46594
"cz8602","Brunswick, GA",46594
"cz28900","Denver, CO",46573
"cz25702","Poplar Bluff, MO",46534
"cz37400","Sacramento, CA & NV",46519
"cz11800","Mount Pleasant, MI",46496
"cz12200","Grand Rapids, MI",46445
"cz11500","Jackson, MI",46432
"cz28704","Laramie, CO & WY",46420
"cz3700","Lake Charles, LA",46386
"cz35201","Grand Junction, CO",46371
"cz22700","Wausau, WI",46365
"cz700","Spartanburg, NC & SC",46336
"cz4200","Little Rock, AR",46317
"cz22602","Shawano, WI",46204
"cz1500","Wilmington, NC",46195
"cz17200","Harrisonburg, VA & WV",46192
"cz29503","St. Joseph, KS & MO",46001
"cz8900","Macon, GA",45969
"cz28202","Omaha, IA & NE",45955
"cz21001","Ashland, WI",45860
"cz31404","Alpine, TX",45829
"cz13300","Findlay, OH",45828
"cz12002","Ludington, MI",45826
"cz32401","Big Spring, TX",45797
"cz5202","Memphis, MS & TN",45789
"cz27005","Yankton, NE & SD",45742
"cz29003","Dodge City, KS",45700
"cz13600","South Bend, IN & MI",45663
"cz21301","Mankato, MN",45560
"cz36501","Klamath Falls, CA & OR",45511
"cz24200","Bourbonnais, IL",45495
"cz8202","Charleston, SC",45492
"cz25500","Centralia, IL",45465
"cz34702","Kapaa, HI",45453
"cz21400","St. Cloud, MN",45435
"cz37700","Santa Rosa, CA",45374
"cz24500","Rolla, MO",45351
"cz27402","Fort Dodge, IA",45331
"cz29004","Great Bend, KS",45325
"cz22400","Sheboygan, WI",45317
"cz31403","Fort Stockton, TX",45254
"cz31004","Liberal, KS & OK",45222
"cz38700","Longview, OR & WA",45125
"cz38000","San Diego, CA",45068
"cz37602","Winnemucca, NV",45027
"cz8800","Savannah, GA & SC",44954
"cz33000","Fort Worth, TX",44924
"cz25105","Batesville, AR",44918
"cz29303","Winfield, KS",44839
"cz33801","Elk City, OK",44837
"cz33901","Ada, OK",44826
"cz28301","Sterling, CO",44823
"cz38901","Eugene, OR",44821
"cz33602","Altus, OK",44811
