cty,name,kfr_native_rA_gP_pall,kfr_native_rA_gP_pall_l,kfr_native_rA_gP_p100,kfr_native_rA_gP_p100_l,kfr_native_rA_gP_p75,kfr_native_rA_gP_p75_l,kfr_native_rA_gP_p25,kfr_native_rA_gP_p25_l,kfr_native_rA_gP_p1,kfr_native_rA_gP_p1_l,kfr_native_rA_gP_p50,kfr_native_rA_gP_p50_l,kfr_native_rA_gF_pall,kfr_native_rA_gF_pall_l,kfr_native_rA_gF_p100,kfr_native_rA_gF_p100_l,kfr_native_rA_gF_p75,kfr_native_rA_gF_p75_l,kfr_native_rA_gF_p25,kfr_native_rA_gF_p25_l,kfr_native_rA_gF_p1,kfr_native_rA_gF_p1_l,kfr_native_rA_gF_p50,kfr_native_rA_gF_p50_l,kfr_native_rA_gM_pall,kfr_native_rA_gM_pall_l,kfr_native_rA_gM_p100,kfr_native_rA_gM_p100_l,kfr_native_rA_gM_p75,kfr_native_rA_gM_p75_l,kfr_native_rA_gM_p25,kfr_native_rA_gM_p25_l,kfr_native_rA_gM_p1,kfr_native_rA_gM_p1_l,kfr_native_rA_gM_p50,kfr_native_rA_gM_p50_l,kfr_native_rP_gP_pall,kfr_native_rP_gP_pall_l,kfr_native_rP_gP_p100,kfr_native_rP_gP_p100_l,kfr_native_rP_gP_p75,kfr_native_rP_gP_p75_l,kfr_native_rP_gP_p25,kfr_native_rP_gP_p25_l,kfr_native_rP_gP_p1,kfr_native_rP_gP_p1_l,kfr_native_rP_gP_p50,kfr_native_rP_gP_p50_l,kfr_native_rP_gF_pall,kfr_native_rP_gF_pall_l,kfr_native_rP_gF_p100,kfr_native_rP_gF_p100_l,kfr_native_rP_gF_p75,kfr_native_rP_gF_p75_l,kfr_native_rP_gF_p25,kfr_native_rP_gF_p25_l,kfr_native_rP_gF_p1,kfr_native_rP_gF_p1_l,kfr_native_rP_gF_p50,kfr_native_rP_gF_p50_l,kfr_native_rP_gM_pall,kfr_native_rP_gM_pall_l,kfr_native_rP_gM_p100,kfr_native_rP_gM_p100_l,kfr_native_rP_gM_p75,kfr_native_rP_gM_p75_l,kfr_native_rP_gM_p25,kfr_native_rP_gM_p25_l,kfr_native_rP_gM_p1,kfr_native_rP_gM_p1_l,kfr_native_rP_gM_p50,kfr_native_rP_gM_p50_l,kfr_native_rB_gP_pall,kfr_native_rB_gP_pall_l,kfr_native_rB_gP_p100,kfr_native_rB_gP_p100_l,kfr_native_rB_gP_p75,kfr_native_rB_gP_p75_l,kfr_native_rB_gP_p25,kfr_native_rB_gP_p25_l,kfr_native_rB_gP_p1,kfr_native_rB_gP_p1_l,kfr_native_rB_gP_p50,kfr_native_rB_gP_p50_l,kfr_native_rB_gF_pall,kfr_native_rB_gF_pall_l,kfr_native_rB_gF_p100,kfr_native_rB_gF_p100_l,kfr_native_rB_gF_p75,kfr_native_rB_gF_p75_l,kfr_native_rB_gF_p25,kfr_native_rB_gF_p25_l,kfr_native_rB_gF_p1,kfr_native_rB_gF_p1_l,kfr_native_rB_gF_p50,kfr_native_rB_gF_p50_l,kfr_native_rB_gM_pall,kfr_native_rB_gM_pall_l,kfr_native_rB_gM_p100,kfr_native_rB_gM_p100_l,kfr_native_rB_gM_p75,kfr_native_rB_gM_p75_l,kfr_native_rB_gM_p25,kfr_native_rB_gM_p25_l,kfr_native_rB_gM_p1,kfr_native_rB_gM_p1_l,kfr_native_rB_gM_p50,kfr_native_rB_gM_p50_l,kfr_native_rW_gP_pall,kfr_native_rW_gP_pall_l,kfr_native_rW_gP_p100,kfr_native_rW_gP_p100_l,kfr_native_rW_gP_p75,kfr_native_rW_gP_p75_l,kfr_native_rW_gP_p25,kfr_native_rW_gP_p25_l,kfr_native_rW_gP_p1,kfr_native_rW_gP_p1_l,kfr_native_rW_gP_p50,kfr_native_rW_gP_p50_l,kfr_native_rW_gF_pall,kfr_native_rW_gF_pall_l,kfr_native_rW_gF_p100,kfr_native_rW_gF_p100_l,kfr_native_rW_gF_p75,kfr_native_rW_gF_p75_l,kfr_native_rW_gF_p25,kfr_native_rW_gF_p25_l,kfr_native_rW_gF_p1,kfr_native_rW_gF_p1_l,kfr_native_rW_gF_p50,kfr_native_rW_gF_p50_l,kfr_native_rW_gM_pall,kfr_native_rW_gM_pall_l,kfr_native_rW_gM_p100,kfr_native_rW_gM_p100_l,kfr_native_rW_gM_p75,kfr_native_rW_gM_p75_l,kfr_native_rW_gM_p25,kfr_native_rW_gM_p25_l,kfr_native_rW_gM_p1,kfr_native_rW_gM_p1_l,kfr_native_rW_gM_p50,kfr_native_rW_gM_p50_l,kfr_native_rH_gP_pall,kfr_native_rH_gP_pall_l,kfr_native_rH_gP_p100,kfr_native_rH_gP_p100_l,kfr_native_rH_gP_p75,kfr_native_rH_gP_p75_l,kfr_native_rH_gP_p25,kfr_native_rH_gP_p25_l,kfr_native_rH_gP_p1,kfr_native_rH_gP_p1_l,kfr_native_rH_gP_p50,kfr_native_rH_gP_p50_l,kfr_native_rH_gF_pall,kfr_native_rH_gF_pall_l,kfr_native_rH_gF_p100,kfr_native_rH_gF_p100_l,kfr_native_rH_gF_p75,kfr_native_rH_gF_p75_l,kfr_native_rH_gF_p25,kfr_native_rH_gF_p25_l,kfr_native_rH_gF_p1,kfr_native_rH_gF_p1_l,kfr_native_rH_gF_p50,kfr_native_rH_gF_p50_l,kfr_native_rH_gM_pall,kfr_native_rH_gM_pall_l,kfr_native_rH_gM_p100,kfr_native_rH_gM_p100_l,kfr_native_rH_gM_p75,kfr_native_rH_gM_p75_l,kfr_native_rH_gM_p25,kfr_native_rH_gM_p25_l,kfr_native_rH_gM_p1,kfr_native_rH_gM_p1_l,kfr_native_rH_gM_p50,kfr_native_rH_gM_p50_l,kfr_native_rNA_gP_pall,kfr_native_rNA_gP_pall_l,kfr_native_rNA_gP_p100,kfr_native_rNA_gP_p100_l,kfr_native_rNA_gP_p75,kfr_native_rNA_gP_p75_l,kfr_native_rNA_gP_p25,kfr_native_rNA_gP_p25_l,kfr_native_rNA_gP_p1,kfr_native_rNA_gP_p1_l,kfr_native_rNA_gP_p50,kfr_native_rNA_gP_p50_l,kfr_native_rNA_gF_pall,kfr_native_rNA_gF_pall_l,kfr_native_rNA_gF_p100,kfr_native_rNA_gF_p100_l,kfr_native_rNA_gF_p75,kfr_native_rNA_gF_p75_l,kfr_native_rNA_gF_p25,kfr_native_rNA_gF_p25_l,kfr_native_rNA_gF_p1,kfr_native_rNA_gF_p1_l,kfr_native_rNA_gF_p50,kfr_native_rNA_gF_p50_l,kfr_native_rNA_gM_pall,kfr_native_rNA_gM_pall_l,kfr_native_rNA_gM_p100,kfr_native_rNA_gM_p100_l,kfr_native_rNA_gM_p75,kfr_native_rNA_gM_p75_l,kfr_native_rNA_gM_p25,kfr_native_rNA_gM_p25_l,kfr_native_rNA_gM_p1,kfr_native_rNA_gM_p1_l,kfr_native_rNA_gM_p50,kfr_native_rNA_gM_p50_l
cty48303,"Lubbock County, TX",,65205,,82220,,70581,,52052,,44619,,61610,,,,,,,,,,,,,,,,,,,,,,,,,43280,46173,83959,76865,56137,60027,31650,34486,18785,21922,43641,47439,44672,47536,87811,80816,57938,62476,32508,35672,19811,23592,44650,48745,41879,44882,79770,73235,54213,57761,30782,33297,17926,20226,42572,46205,24699,25454,57835,52663,35682,37461,23173,24353,15724,15741,29635,30892,23792,27790,57043,63763,34106,41810,22061,27331,15223,18403,28435,34512,25861,23618,52758,49145,35592,35818,24629,21822,17847,12505,30156,28795,53568,56729,84943,76604,59830,63158,38527,42045,26689,30537,48287,52622,54953,59732,89056,80121,61852,66716,39309,45511,27263,34861,49427,55791,52166,53956,81199,73523,57942,60138,37746,39129,26099,26670,47204,50030,32490,36135,69086,66234,46739,51089,29591,33047,19379,21106,37484,41457,33909,35271,69781,63486,47246,49011,30747,32422,20872,22327,38251,40039,31126,37011,68177,68693,46274,53466,28589,33741,18135,19510,36853,43086,,52523,,52491,,52836,,53336,,53671,,53092,,,,,,,,,,,,,,53286,,56290,,53067,,48801,,46135,,50833
cty01071,"Jackson County, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41586,43834,78096,63900,53630,53533,31442,36392,19535,27482,42429,45380,41838,45120,76225,64300,53259,54342,32481,38156,21705,30286,42623,46392,41384,42625,80681,63465,54173,52813,30099,34789,16888,24780,42198,44539,31369,30083,37615,58746,33127,40747,30112,26065,28265,16539,31687,33308,,23373,,24217,,23102,,22145,,21515,,22637,,35870,,101028,,60372,,30136,,13089,,43706,43010,44938,83599,64296,55488,54160,32666,37841,19406,28279,43127,46173,42915,46681,77327,62922,53807,54520,34033,40664,22686,33045,43067,47549,43024,43339,92881,65285,57722,53729,30696,35367,15015,23845,43102,45022,,38046,,82191,,52571,,22290,,614,,36134,,,,,,,,,,,,,,,,,,,,,,,,,46157,42734,50740,97999,46929,64443,43838,33646,42078,17839,45409,46706,47795,,67901,,52998,,43334,,38119,,48003,,,,,,,,,,,,,
cty12043,"Glades County, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52063,46242,113061,58030,72874,52708,41289,43005,26900,37721,56374,48233,53928,50252,90000,83351,67692,67773,46396,43579,36281,32946,56772,55564,50305,42240,137607,38900,76646,40370,38171,43629,20661,45864,56471,41731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39904,39459,67405,44213,50771,41932,35638,37587,26521,34693,42795,39919,37212,43524,69912,45840,51162,44900,34641,43081,24948,41933,42298,44033,41195,35445,70236,41528,52506,39084,36386,34353,26619,30966,44093,36984,,40223,,1062314,,181488,,31789,,0,,69458,,,,,,,,,,,,,,,,,,,,,,,,,,75501,,13061,,41269,,118239,,1062314,,70848,,,,,,,,,,,,,,,,,,,,,,,,
cty42071,"Lancaster County, PA",52417,59025,74322,76136,56541,63365,43288,43855,35986,36171,49101,53747,54825,55324,58866,59305,55847,56976,53058,52344,50866,50115,54196,54611,48702,61179,131850,97850,67257,69638,27752,37342,8169,25841,46028,54779,53296,56541,80668,76822,58435,62831,37521,40434,26847,29645,47840,51920,54050,57085,83401,78322,59791,63688,38183,40958,27634,30744,48610,52226,52585,56036,78160,75379,57467,61837,37314,39479,26665,27988,47491,51333,32686,30436,72793,54575,42522,39137,27328,26042,18493,17436,35004,32541,37032,34731,73025,63344,45495,43538,32529,30316,25540,22297,39186,36858,27643,25935,69124,46839,38733,34704,21866,21678,11843,12988,30289,28189,55243,58545,81009,76263,59699,63609,40844,43440,30277,32408,49575,53594,56038,59023,84918,77687,60983,64434,40487,43596,29403,33060,49768,53685,54489,58100,77460,74756,58215,62515,40713,42755,30556,31137,49000,53070,36894,40713,73038,76081,48062,55912,29407,33211,18412,18791,37937,43548,36832,40198,66480,73486,45437,54066,29741,33101,20195,20884,36928,42504,36890,41412,82809,77049,52052,57390,29296,33161,16501,16305,39640,44410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty48181,"Grayson County, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44479,46710,74276,68688,53329,55931,33624,35590,23087,25248,43447,46120,45723,48460,78177,73010,55141,58546,34233,36442,23607,26155,44397,47420,43256,45076,69979,64729,51369,53555,33046,34801,22807,24456,42434,44912,25286,32930,52892,59077,33703,42291,22357,28566,15575,19715,28251,35311,25890,32492,44650,53502,31241,39011,23404,28516,18803,21940,27576,33782,24184,33111,59957,64541,35156,45782,20262,28515,11278,17398,27788,36816,47760,48942,76549,70114,55282,57356,36762,37541,26051,26288,45366,47511,49552,50530,80102,74996,57312,60126,37813,37732,26977,26211,46684,48476,46022,47479,72540,65374,53062,54682,35687,37430,25218,26686,43954,46524,37343,39999,40271,54491,38006,46218,35719,35228,34239,27643,36826,40504,37639,40627,36014,58632,36466,48363,36919,35857,37222,28201,36701,41672,36812,38861,44475,50153,39455,43816,34344,34249,31158,26749,36832,38998,43257,42257,82561,97323,52297,60672,34041,28267,24785,10964,42786,42067,45333,53027,108028,89938,54859,64442,30365,38333,17771,25110,41589,49654,41192,31092,57724,94308,46205,53206,36508,18202,31391,0,41487,33670
cty06073,"San Diego County, CA",54651,46819,79951,58432,57889,49577,42088,35586,33586,29549,48935,42856,58048,49333,77089,61250,61026,52716,48219,37987,39433,31514,53182,44893,51741,44694,78578,55450,56217,46649,35367,33941,24521,28463,45681,41309,48689,46610,70040,58742,52270,50194,34963,35588,25638,27765,43664,43338,51281,49344,73491,62933,55080,53284,37482,37530,28517,29809,46124,45566,46301,44019,67136,54862,49776,47299,32431,33670,22598,25723,41368,41194,30412,31295,54181,48060,36278,37135,25837,27267,19529,20693,31222,32200,33511,33144,60863,53379,39666,39263,28885,29014,22803,22608,34509,34154,27246,29415,48962,43632,33065,35010,22542,25476,16059,18884,27885,30235,53661,50329,72268,60093,55064,52105,39381,38752,30225,30733,46745,45654,56099,53640,74993,64279,57635,55566,41818,41240,32909,33427,49127,48347,51410,47276,69930,56253,52689,48932,36921,36367,27372,28110,44465,43130,41933,42293,61574,54785,47010,46909,34853,36394,27671,29157,40509,41442,43988,44195,67141,57983,49699,49020,36245,37886,28381,31056,42371,43080,39911,40290,56542,51175,44431,44658,33440,34879,26890,27258,38668,39722,42352,44202,88887,72542,50058,54559,28289,35345,16928,24686,38707,43929,47083,44288,91196,78457,52599,57053,32522,34580,22060,22427,41870,44508,37835,44172,82741,66515,47596,52305,24184,36564,12138,27663,35884,43694
cty05045,"Faulkner County, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45025,48770,76833,73430,53682,58638,32397,35602,21013,24163,42960,47391,46988,50801,78390,78677,55433,62142,34565,37359,23989,26169,44703,49538,43116,46801,75017,68538,51999,55530,30385,34286,18291,22756,41365,45633,31229,34045,53956,91916,37026,53487,27121,28280,21168,13594,32221,40033,31759,31507,64493,81546,39115,48263,26636,28733,19547,17288,33143,38168,29799,36728,41122,90202,33282,54335,27741,26501,24273,9610,30556,39306,47577,50675,79634,72407,55297,58772,34781,37787,22906,26022,44250,48296,49257,53184,80553,77598,56955,62506,36962,39657,25826,28111,46040,50603,45930,48217,78704,67332,53779,55372,32756,36444,20104,24746,42640,46360,39569,41932,76471,76350,50123,57291,30726,35463,19504,21833,39525,45407,41401,40313,68528,57105,46833,48284,30807,37291,21187,30517,38111,42425,,42600,,89180,,62308,,31579,,11011,,45469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty17201,"Winnebago County, IL",46628,53458,78253,58775,46126,54471,25461,47026,13461,43697,34541,50982,,57358,,62904,,60252,,54999,,52480,,57568,37390,46334,43293,54597,37673,48118,30982,38399,26934,34182,34518,44065,45285,45542,74744,68753,50551,52969,28571,28959,16449,16313,39560,41362,46108,47217,75866,69959,51377,54444,29589,31315,18034,20060,40259,42852,44467,43965,73558,67310,49750,51763,27536,27310,14950,13617,38889,40405,22598,23972,43905,42684,29121,31966,19636,21844,14069,15139,24600,26970,23773,27985,36491,49652,27326,35848,21647,25536,18306,18948,24683,30752,21300,20082,52228,37098,31241,28317,17677,18120,9163,11203,24571,23258,49456,50012,75120,69386,52491,54511,33185,32272,21703,19228,42177,43428,50362,51154,76426,71334,53422,55877,33997,33076,22812,20838,42888,44057,48588,48950,74021,67460,51605,53484,32272,32098,20409,18554,41450,43260,39082,37167,69920,53600,46424,44098,28578,31630,17916,22875,36793,37617,41115,40108,78761,52318,49278,45010,29048,35618,17119,29681,38128,40051,36546,34334,57108,51263,42336,42250,29245,29113,21290,18649,35475,35605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty26029,"Charlevoix County, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44985,46072,74118,66247,52118,53192,31683,32544,20589,21741,41882,43273,45339,47738,71668,67212,52210,54671,33942,35130,24417,25719,42937,44962,44676,44624,76472,65305,52376,51869,29992,30113,17508,17819,41335,41806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46590,46635,76982,67793,53458,53901,33543,32844,21803,20450,42784,43449,46671,48652,77021,68577,54132,55852,34750,36309,23671,25870,43606,45813,46536,44922,76735,67144,52994,52400,32762,30086,20504,15845,42310,41743,,41890,,49505,,44545,,37553,,32584,,40958,,,,,,,,,,,,,,,,,,,,,,,,,,30094,,51741,,38154,,21873,,11773,,29576,,,,,,,,,,,,,,,,,,,,,,,,
cty09003,"Hartford County, CT",60025,51183,70354,67790,59246,52056,50219,29739,45010,20252,54263,41054,67011,54261,73754,76505,66069,56401,59221,27121,54058,14683,61976,40253,54184,48355,69335,59038,55096,47272,40511,31085,32730,24140,47893,40396,56037,54507,83009,73098,55796,56815,31710,32116,19023,19555,43525,44730,58522,57193,86201,76215,58730,59716,34711,35177,22873,23859,46213,47256,53733,52038,80208,70429,53481,54504,29276,29621,15933,15909,41463,42828,28439,31304,53660,48566,34547,37507,23341,27562,16592,20950,29148,32530,30434,34629,53928,52268,35884,40284,26165,31426,20548,25936,31284,35872,26220,28029,53261,46085,33059,35193,20155,23421,12412,15435,26707,29294,61811,59813,83307,74204,58910,59225,38119,36617,26473,23995,47665,47872,64401,62273,85758,76142,61987,61642,41509,39558,30493,28314,50785,50165,59405,57528,81291,72296,56557,56683,35510,33241,23217,18832,45354,45341,38460,38869,67392,61607,45422,48594,28441,32595,18212,21773,36292,40135,41598,42734,80666,76619,49789,56378,28860,34632,16580,22250,38227,44318,35520,35431,54558,49742,40517,42277,27820,31150,19992,22315,33894,36668,,46887,,68906,,54762,,38879,,30024,,46054,,,,,,,,,,,,,,,,,,,,,,,,
cty37067,"Forsyth County, NC",45578,42922,77689,55212,52098,44310,34733,27345,25083,19657,42252,36221,,47417,,59126,,49123,,32250,,24665,,40167,,,,,,,,,,,,,43028,42960,75230,64245,49125,49463,25772,26513,12885,14178,37494,38523,46104,45384,80889,68323,52523,52345,28191,28672,15461,16911,40012,40538,40136,40713,69781,60563,45916,46876,23384,24406,10091,11247,35075,36673,25193,26745,52694,47066,32856,34557,21084,23195,14153,15658,27211,28914,27944,28765,52418,43113,34218,33585,24283,26049,18504,21183,29538,29884,22498,24594,51575,49857,31220,35356,17987,20225,9769,9921,24717,27777,52258,50538,77894,65662,53370,52247,32825,31782,20681,19535,42342,42143,55270,53921,84841,71710,56960,56094,34365,33105,21750,20789,44539,44166,49363,47529,71508,60518,50365,48920,31885,30428,20420,18227,40702,40245,30207,36094,56198,59721,37353,44379,21450,25771,11603,12888,29032,34627,24404,36647,32757,59638,26674,44856,20765,27760,16905,16949,23608,35705,35438,35246,81112,60784,47791,45130,23496,24559,9112,8198,34731,34562,,25562,,35752,,30552,,23407,,18717,,26855,,,,,,,,,,,,,,,,,,,,,,,,
cty48257,"Kaufman County, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44676,50415,75060,77196,52322,60382,31359,34845,19987,22327,41804,47796,44507,52140,76715,79740,52601,62352,31053,36599,19770,24993,41572,49210,44829,48747,73729,74565,52220,58434,31697,33137,20268,19688,42138,46442,27479,27944,43970,64810,32653,41107,25437,22836,21009,11125,29193,31836,24602,28359,23888,50605,24299,35799,24562,24837,24719,17850,24421,30381,31703,27415,76578,80959,45321,47448,28707,20514,19027,1658,36810,33335,49105,54727,80038,77244,55098,62106,34214,39070,22094,26516,43846,50513,49365,57063,83044,78993,55822,64641,33682,42450,21177,31329,43686,53125,48844,52545,77309,75538,54487,59996,34793,36421,23067,22428,44075,48542,40326,45137,63582,67864,47494,54008,34321,37161,26579,26330,40428,44998,44375,47623,52336,83690,47085,60505,42317,36143,39327,22780,44568,46841,35975,43082,68670,57185,46028,49569,27864,38456,17117,30105,36353,43895,,56926,,101646,,69062,,38646,,23712,,51571,,,,,,,,,,,,,,,,,,,,,,,,
cty55087,"Outagamie County, WI",60464,47095,80705,48296,62446,47250,48571,45308,41015,44379,54660,46363,,,,,,,,,,,,,,47203,,47442,,46899,,45969,,45533,,46528,57027,59941,80241,79869,59922,64043,40270,39324,30302,27584,50012,51892,59106,61767,80617,82742,61962,65861,43706,40345,34744,29120,52651,52866,55109,58177,79694,76629,57721,62120,36609,38520,25488,26442,47234,50978,38757,30926,66350,45653,41697,36830,28688,28662,21098,23222,35289,32755,,33430,,66367,,43445,,28590,,19539,,35922,,,,,,,,,,,,,58636,61336,82041,80027,61265,64885,42656,41584,32287,29112,51285,53164,60565,63216,81594,82638,63100,66787,46078,42671,36724,30801,53926,54204,56798,59526,82469,77229,59530,62938,39429,40585,27971,27625,48842,52133,35151,43485,49879,73150,38748,51999,28715,28533,22397,13205,33484,39327,32449,57043,34920,104661,33282,64762,31687,29695,30631,10866,32453,44506,37020,35444,59719,49640,42320,41223,27343,28778,18219,18790,34454,34949,31079,37714,36912,60870,32611,45334,29038,28086,26951,17637,30865,36022,31986,33729,30862,52003,31866,40715,32664,26893,33151,18278,32261,33396,29813,42898,47372,68592,34791,49389,23631,29366,17349,17665,29482,38408
cty10003,"New Castle County, DE",59520,50888,99274,57243,57857,52135,33267,43457,20211,39626,43559,48045,63307,54266,93007,66372,61989,57334,40814,41746,27260,35072,48667,49015,56156,47736,108362,46868,55512,47461,18234,48504,0,49009,36368,47876,48104,47716,80179,68707,51893,52590,27186,28167,13831,15302,39441,40789,50042,49927,83393,71889,54137,54912,29232,30080,16349,18011,41257,42405,46294,45679,77410,65859,49836,50470,24988,26135,10820,12342,37657,39227,29062,30422,63392,49975,37135,37219,23007,25922,14719,18401,30272,31564,31522,33910,68516,55508,39418,40350,25563,29542,17723,22837,32777,34947,26597,26954,57926,45494,34617,34364,20362,22274,11792,14159,27575,28323,55016,54061,82209,70964,54661,54976,32212,31423,19063,17649,42532,43190,56896,56326,85927,74459,56583,57108,33170,32115,20012,18801,43694,44050,53266,52056,78969,67659,52873,53074,31148,30955,17932,16896,41372,42494,42979,37688,72258,56051,49880,44420,32761,29633,22892,19237,40570,36699,45256,38059,76756,59314,52655,45176,35239,28713,25350,18312,43035,36361,40716,37130,68429,52619,47074,43590,29772,30529,19622,20243,37841,36965,38245,,38465,,37359,,36418,,35866,,36902,,,,,,,,,,,,,,,,,,,,,,,,,
cty26049,"Genesee County, MI",48829,69983,50721,67699,49655,69287,48670,72409,48041,73981,49129,70688,45802,78015,56429,96175,47952,82035,40763,58664,35386,49074,43626,69553,51250,64524,45774,57361,56875,64373,74418,77991,87692,85350,64537,69537,40659,39803,65400,59116,45719,47297,26798,28030,15976,17370,36450,38229,42301,41978,66282,62554,47159,49780,29091,29908,19168,19835,38110,40007,39040,37739,64544,55819,44350,44977,24451,26268,12803,15172,34846,36574,26160,24925,44865,40711,30749,31344,21789,22364,16363,16330,26470,26917,28836,27929,45061,43129,32342,33263,24941,25464,20598,20420,28871,29436,23434,21814,43843,38520,29025,29587,18734,19304,12568,12424,23986,24492,45491,44567,70963,61615,48794,49791,29799,31257,18070,19928,38744,40738,46809,46693,71969,65481,50170,52392,31589,32481,20531,21465,40179,42211,44203,42557,69826,57990,47376,47332,27953,30016,15612,18430,37294,39270,37127,35716,64281,47177,42459,39966,25323,29979,14908,22744,33332,34840,39130,36606,68371,56581,44733,43505,27492,27946,16948,17989,35386,35222,34908,34864,60923,39951,40255,36837,22750,31755,12194,27561,31121,34323,27286,38768,30108,77898,27986,51563,26171,25887,25099,11128,27103,37323,28676,36999,17521,75015,27918,53462,36459,31027,42088,18413,32082,41025,26163,39926,54806,79102,32827,50792,14685,23834,2831,7728,24136,35870
cty40027,"Cleveland County, OK",,47615,,59432,,52543,,41258,,36387,,47159,,,,,,,,,,,,,,,,,,,,,,,,,48736,47736,73232,66540,54592,54822,36540,35857,27006,26119,45568,45730,51010,50601,75071,69561,56866,57740,39321,38953,30482,30095,47931,48405,46547,45209,71571,63973,52455,52351,33720,32996,23360,22173,43287,43436,33516,29571,68874,42074,39399,33513,24231,25392,15360,19883,31971,29490,33350,30305,78233,37120,40958,32116,24404,27978,15240,25293,32973,30093,33602,28782,62349,46842,38841,35620,25063,23577,16711,15420,31938,29578,51411,49962,75862,69321,56568,56806,39318,37317,29405,26195,47357,47137,54416,52788,76548,71593,59530,59705,43834,40952,35045,31171,51093,50082,48584,47457,75340,67342,54061,54488,35406,34472,24269,21973,44232,44937,38099,46152,71045,58664,45158,50936,25827,40629,14320,33670,34755,45557,37259,50592,65055,69803,43330,58129,27097,43988,17064,35819,34574,50478,38879,42450,83484,51627,48722,46032,23733,37525,9023,30908,35235,41746,42447,39138,57616,61083,46238,47386,37934,31944,33414,22793,42072,39029,42484,44392,66357,70536,47698,54464,36167,36585,29882,26703,41720,44638,42646,34664,50913,54340,44954,41927,39521,27451,36553,18474,42350,34200
cty37001,"Alamance County, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44075,45419,83521,74255,53546,56159,27770,29414,14015,15728,40461,43039,45787,48192,90534,79068,56202,59546,28293,31705,14194,18719,41616,45284,42436,42866,77262,69638,51064,53284,27210,27868,13887,13806,39324,41394,27469,28125,71501,52953,39324,37905,23083,24957,13706,16427,31375,31407,28821,30068,86275,63288,42908,41276,24627,26718,14660,17720,34018,33951,25931,26365,61164,46931,36225,35448,21430,23137,12605,14843,28879,29276,49651,51553,85657,75471,55694,58452,31796,33565,17915,19489,42716,45871,51269,54796,92705,79394,57712,61857,31226,36313,16451,23359,43009,48419,48111,48631,79555,71471,53770,55510,32208,31712,19212,16914,42330,44011,33074,44693,61446,53785,40479,48844,23632,41908,13370,37052,31569,45274,41661,47683,116983,53028,58046,50542,26793,47056,9401,44759,40158,48732,,43316,,60867,,51682,,38656,,29081,,44977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cty40087,"McClain County, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47540,51756,71534,77222,55481,63208,39396,40741,30898,29943,47486,52264,45622,54599,69060,81056,53031,66389,37353,43373,29206,33146,45123,54807,49263,49210,73707,73567,57676,60209,41133,38224,32292,26783,49607,49896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49670,53984,69450,82617,55751,66583,42681,42104,34949,29171,48886,54235,47210,57981,67330,92796,53114,73111,39854,44485,32107,30989,46054,58061,51870,50444,71365,74751,58060,61109,45049,39712,37240,27124,51331,50802,48739,38053,136134,47541,66022,41913,31547,33997,14224,28333,46044,37856,,40636,,40399,,41145,,42261,,43048,,41715,,35897,,47170,,41133,,31875,,24468,,36491,39416,43948,136551,82389,60605,57004,29857,31924,15238,18190,43872,42882,47965,43521,101393,46314,61442,44476,40503,41902,30368,40257,50128,43141,30029,44176,214234,205637,63915,73413,23536,23599,3379,0,42172,43485
cty01103,"Morgan County, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41909,45865,70253,69499,48548,54645,28283,31735,16911,19861,38507,43538,45137,49204,74264,75345,51389,58487,30708,33625,19761,22001,40855,45869,38915,42774,65760,63754,45845,50984,26320,30068,14927,18160,36465,41351,23361,28054,32300,35943,25985,31093,21651,26290,18970,23004,23925,28728,25160,30794,35424,41419,27797,34363,23048,28689,20237,25044,25586,31579,21815,25630,27103,31437,23412,28220,20637,24369,18881,21646,22058,26315,45922,49232,73264,73170,50922,57093,31827,33346,20282,19754,40761,45153,49313,52611,74842,79062,53406,61129,35003,35220,24421,21976,43449,47486,42837,46074,70418,67073,48473,53173,29427,31889,17385,18369,38555,43010,39494,40498,80054,51406,48744,44853,26639,35870,13840,29566,36680,40217,48859,43470,79146,45900,55640,44399,38408,42252,28844,40811,46090,43292,24284,35450,76144,61484,37405,48977,7844,32114,0,19432,22261,40245,34762,45297,203615,88732,49925,50999,11607,17482,0,0,29887,32476,,,,,,,,,,,,,,,,,,,,,,,,
